"Drug","Pearson.est","Pearson.p","Pearson.q","Spearman.est","Spearman.p","Spearman.q","Slope","Intercept","R.squared","Rank.slope","Rank.intercept","Rank.R.squared","N"
"chloropyramine",-0.0605981391437989,0.541149870466021,0.809841879127004,-0.0420463032113518,0.671715402739748,0.880445151711953,-0.000548796485118072,0.841654194936864,0.0036721344676912,-0.0420463032113519,54.707430918596,0.00176789161374093,104
"chloroxine",0.0845831699964952,0.132300277871823,0.456120957996191,0.124943861566682,0.0258783898843587,0.182357484367966,0.000588098152796824,0.89135491747019,0.00715431264665599,0.124943861566682,139.571454080114,0.0156109685431941,318
"chlorpropamide",0.0230121742892881,0.695355717034629,0.881142339861954,0.0157687760304579,0.788454650764802,0.932747005153132,0.000293345170154275,1.0517131876231,0.000529560165520572,0.0157687760304578,144.189874311538,0.00024865429749874,292
"chlorpyrifos",-0.0351798678665452,0.55210431649981,0.815762296216045,-0.0134334221493475,0.820430328370642,0.945419707732755,-0.000432685327421345,1.06193773634918,0.00123762310310758,-0.0134334221493475,146.441129500581,0.000180456830642582,288
"chlorquinaldol",0.0840570490970022,0.141726473030814,0.468538659700042,0.106290369271783,0.062880866389534,0.300499981953945,0.00105594461257873,1.03352734354088,0.00706558750289585,0.106290369271783,137.631283132145,0.0112976425999321,307
"cholecalciferol",0.107912391147453,0.0577140304684945,0.309965657485964,0.0799858613546715,0.1600632025088,0.47886677114203,0.00120310089570771,0.85742290136008,0.011645084163161,0.0799858613546716,143.062198559349,0.00639773801664875,310
"chromocarb",0.134027245011184,0.0229119791903481,0.186385089143955,0.139081457547151,0.0182004702967311,0.148360170255542,0.00213332633870302,1.16955460812101,0.0179633024052881,0.139081457547151,124.402729384437,0.0193436518334399,288
"CI.844",0.0655535414719268,0.276919894302772,0.606626334266889,0.1106587967736,0.0659073929431255,0.310348836776631,0.000739015548576545,1.27374728914113,0.00429726679951163,0.1106587967736,123.61842724847,0.0122453693033809,277
"cibenzoline",0.0157436232916039,0.78807313992482,0.929258881605162,0.0208454388870722,0.721884856587744,0.900975560106793,0.000114982631674418,1.15726975765073,0.00024786167434793,0.0208454388870723,144.425297764157,0.000434532322394663,294
"ciclesonide",0.034610235931861,0.564830150104953,0.818229563627663,0.0219396832764203,0.715213210658686,0.900822241697756,0.000606735122148161,1.07999510115404,0.00119786843125908,0.0219396832764204,136.928444341301,0.000481349702269642,279
"ciclopirox",0.0787404795777316,0.163283041873957,0.48852842532031,0.0642847544564871,0.255294907961874,0.588641762306995,0.000935088806077499,0.919695610972044,0.00620006312413117,0.0642847544564872,147.843008795875,0.00413252965553086,315
"CID.5458317",0.118860632276063,0.0335479798430039,0.235812984527523,0.210481425599859,0.000148808513174897,0.0195056678669544,0.000488201728684319,0.860829482630059,0.0141278499050654,0.210481425599859,126.717731191223,0.0443024305225491,320
"cidofovir",0.00201928485285306,0.972781936378326,0.989862001685722,0.0504055998296019,0.394084720597982,0.700969277459584,2.26584392751792e-05,1.0559897318842,4.07751131696182e-06,0.0504055998296019,137.216390824623,0.00254072449418195,288
"cilostamide",-0.0408511381884344,0.480134253896656,0.767790301390879,-0.0383692328001584,0.507230776120676,0.78651228544089,-0.0004771033498535,1.04347350057979,0.00166881549129056,-0.0383692328001584,156.793754152824,0.00147219802567275,301
"cimetidine",0.0697831645325249,0.253151513896719,0.585564524157268,0.052511345231903,0.390098161493933,0.699953082829263,0.000665416545975377,0.975703714969584,0.00486969005217344,0.0525113132172212,128.384717059067,0.0027574413780641,270
"cinacalcet",-0.0294172113696054,0.610607245139362,0.845162678309733,-0.0329990376574579,0.567837237556068,0.819769012942359,-0.000128405952361025,0.909083139413107,0.000865372324764039,-0.0329775227418233,156.496094695386,0.00108893648631832,302
"cinalukast",-0.0183681605532331,0.757093729844924,0.91130489541969,-0.0267201348074262,0.652724961417408,0.865941627518196,-0.000191935276822276,1.0702196698966,0.000337389322109351,-0.0267201348074261,147.334339344866,0.000713965604127033,286
"cinnarazine",0.0465494801355788,0.432112066755883,0.746459372844659,0.0551541953980978,0.351852301408635,0.678350171909488,0.000537621353760838,1.31385097147211,0.00216685410089265,0.0551541953980978,136.057795862674,0.00304198527001155,287
"cinromide",0.062093315473102,0.307568226252003,0.637137040934049,0.0588616939821628,0.333474046102646,0.663283542248119,0.000580871360267279,1.15355381599868,0.00385557982644216,0.0588616939821629,128.465378771435,0.00346469901844977,272
"ciprofibrate",0.0625744612831199,0.299384386868417,0.629829542403822,0.072060449270469,0.231908820260028,0.570274569854066,0.00102673383049488,0.962048942698086,0.00391556320487268,0.0720604492704691,128.983597551405,0.00519270834906184,277
"cisplatin",-0.0443685972012724,0.440077206150955,0.752593495277727,-0.012230793956927,0.831535600508091,0.950096361210637,-0.000615993948879855,1.03684159292941,0.00196857241760876,-0.0122307939569269,154.87131147541,0.000149592320816803,305
"CL.218872",-0.0284706393805181,0.627425209356742,0.852907111846984,-0.0367349801204319,0.531101704555616,0.794457921690632,-0.000261011517386258,1.09564684074401,0.000810577306735512,-0.0367349801204319,152.400042077703,0.00134945876444852,293
"cladribine",0.187628356809651,0.00421384634130243,0.0813553266960789,0.170854183297961,0.00927276065494072,0.109641750006586,0.00201393483491542,0.601329716317944,0.0352044002790897,0.170854183297961,96.1809147374365,0.0291911519504134,231
"clebopride",-0.0808889588213278,0.239788351068823,0.576766665029328,-0.0441708618844082,0.52141086422856,0.79307030609554,-0.00104068353073064,1.20237222389212,0.00654302365919846,-0.0441708618844081,111.726282221632,0.00195106503961146,213
