"CCLE_19Q4_gene_symbol","HGNC_ID","HGNC_approved_symbol","HGNC_alias_symbols","HGNC_previous_symbols"
"TMEM132A","HGNC:31092","TMEM132A","GBP|FLJ20539","HSPA5BP1"
"AP2B1","HGNC:563","AP2B1","","ADTB2|CLAPB1"
"TAC1","HGNC:11517","TAC1","NPK","TAC2|NKNA"
"ZNF263","HGNC:13056","ZNF263","FPM315|ZKSCAN12|ZSCAN44",""
"CX3CL1","HGNC:10647","CX3CL1","NTN|C3Xkine|ABCD-3|CXC3C|CXC3","SCYD1"
"SPATA20","HGNC:26125","SPATA20","FLJ21347|SSP411|Tisp78",""
"CACNA1G","HGNC:1394","CACNA1G","Cav3.1|NBR13",""
"TNFRSF12A","HGNC:18152","TNFRSF12A","FN14|TweakR|CD266",""
"DLX6","HGNC:2919","DLX6","",""
"MAP3K9","HGNC:6861","MAP3K9","PRKE1|MEKK9","MLK1"
"RALA","HGNC:9839","RALA","","RAL"
"BAIAP2L1","HGNC:21649","BAIAP2L1","IRTKS",""
"KDM7A","HGNC:22224","KDM7A","KIAA1718","JHDM1D"
"ETV1","HGNC:3490","ETV1","ER81",""
"AGK","HGNC:21869","AGK","FLJ10842","MULK"
"ALDH3B1","HGNC:410","ALDH3B1","","ALDH7"
"TTC22","HGNC:26067","TTC22","FLJ20619",""
"PHTF2","HGNC:13411","PHTF2","DKFZp434D166",""
"CCL26","HGNC:10625","CCL26","MIP-4alpha|eotaxin-3|IMAC|MIP-4a|TSC-1","SCYA26"
"FARP2","HGNC:16460","FARP2","KIAA0793|FIR|PLEKHC3|FRG",""
"USH1C","HGNC:12597","USH1C","PDZ73|harmonin|NY-CO-37|NY-CO-38|PDZ-73|AIE-75|PDZD7C","DFNB18"
"GGCT","HGNC:21705","GGCT","MGC3077|CRF21|Ggc","C7orf24|GCTG"
"DBF4","HGNC:17364","DBF4","ASK|chif|ZDBF1|DBF4A",""
"TBXA2R","HGNC:11608","TBXA2R","",""
"IFRD1","HGNC:5456","IFRD1","PC4|TIS7",""
"LGALS14","HGNC:30054","LGALS14","PPL13|CLC2",""
"COX10","HGNC:2260","COX10","",""
"GTF2IRD1","HGNC:4661","GTF2IRD1","MusTRD1|RBAP2|GTF3|WBSCR12|BEN|Cream1","WBSCR11"
"PAF1","HGNC:25459","PAF1","PD2|F23149_1|FLJ11123",""
"VPS41","HGNC:12713","VPS41","HVSP41",""
"ARHGAP44","HGNC:29096","ARHGAP44","KIAA0672|RICH-2|RICH2",""
"ELAC2","HGNC:14198","ELAC2","FLJ10530|HPC2",""
"SCIN","HGNC:21695","SCIN","KIAA1905",""
"ARSD","HGNC:717","ARSD","ASD",""
"PNPLA4","HGNC:24887","PNPLA4","DXS1283E|GS2|iPLA2eta",""
"MYH13","HGNC:7571","MYH13","MyHC-eo",""
"ADIPOR2","HGNC:24041","ADIPOR2","PAQR2|ACDCR2",""
"CDKL3","HGNC:15483","CDKL3","NKIAMRE",""
"UPP2","HGNC:23061","UPP2","UPASE2|UP2|UDRPASE2",""
"PRSS21","HGNC:9485","PRSS21","ESP-1|TEST1",""
"MARK4","HGNC:13538","MARK4","Nbla00650|FLJ90097|KIAA1860|PAR-1D","MARKL1"
"PROM1","HGNC:9454","PROM1","AC133|CD133|RP41|CORD12","PROML1|MCDR2|STGD4"
"CCDC124","HGNC:25171","CCDC124","Lso2|oxs1",""
"CEACAM21","HGNC:28834","CEACAM21","R29124_1|FLJ13540",""
"PAFAH1B1","HGNC:8574","PAFAH1B1","LIS1|PAFAH|NudF","MDCR|MDS"
"NOS2","HGNC:7873","NOS2","iNOS|NOS|HEP-NOS","NOS2A"
"DNAH9","HGNC:2953","DNAH9","Dnahc9|KIAA0357|HL20|HL-20|DNAL1|DYH9","DNAH17L"
"KIAA0100","HGNC:28960","BLTP2","DKFZp686M0843|MGC111488|BCOX1|CT101|BCOX|FMP27|Hob","KIAA0100"
"SLC13A2","HGNC:10917","SLC13A2","NaDC-1",""
"GAS7","HGNC:4169","GAS7","KIAA0394|MGC1348",""
"TRAPPC6A","HGNC:23069","TRAPPC6A","TRS33|MGC2650|HSPC289",""
"MATK","HGNC:6906","MATK","HYLTK|CTK|HYL|Lsk|CHK|HHYLTK|DKFZp434N1212|MGC1708|MGC2101",""
"CEACAM7","HGNC:1819","CEACAM7","CEA","CGM2"
"CD79B","HGNC:1699","CD79B","B29|Ig-beta|Igbeta","IGB"
"SCN4A","HGNC:10591","SCN4A","Nav1.4|HYPP|SkM1","HYKPP"
"ST7L","HGNC:18441","ST7L","FLJ20284|STLR|ST7R|FAM4B",""
"TKTL1","HGNC:11835","TKTL1","TKR|TKT2",""
"PAX6","HGNC:8620","PAX6","D11S812E|AN|WAGR","AN1|AN2"
"RPUSD1","HGNC:14173","RPUSD1","RLUCL|MGC19600","C16orf40"
"RHBDF1","HGNC:20561","RHBDF1","EGFR-RS|FLJ2235|Dist1|iRhom1","C16orf8"
"LUC7L","HGNC:6723","LUC7L","LUC7B1|hLuc7B1|Luc7",""
"CACNA2D2","HGNC:1400","CACNA2D2","KIAA0558|alpha2delta-2",""
"BAIAP3","HGNC:948","BAIAP3","BAP3|KIAA0734",""
"TSR3","HGNC:14175","TSR3","MGC24381","C16orf42"
"PIGQ","HGNC:14135","PIGQ","hGPI1|GPI1",""
"CRAMP1","HGNC:14122","CRAMP1","KIAA1426","CRAMP1L"
"TEAD3","HGNC:11716","TEAD3","TEF-5|ETFR-1","TEAD5"
"SELE","HGNC:10718","SELE","ESEL|CD62E","ELAM1|ELAM"
"DNAJC11","HGNC:25570","DNAJC11","FLJ10737",""
"FMO3","HGNC:3771","FMO3","FMOII",""
"MYLIP","HGNC:21155","MYLIP","MIR|IDOL",""
"NOX1","HGNC:7889","NOX1","NOH1|NOH-1|MOX1|GP91-2|NOH-1L",""
"E2F2","HGNC:3114","E2F2","E2F-2",""
"PSMB1","HGNC:9537","PSMB1","PMSB1|HC5",""
"SYN1","HGNC:11494","SYN1","","MRX50"
"JARID2","HGNC:6196","JARID2","","JMJ"
