Gene,Log2FC,sd.Log2FC
CNOT8,0.649117825,NA
CNTLN,-1.825427581,NA
CNTN1,-3.549380136,NA
CNTNAP1,-0.87257005,NA
COA1,2.340353093,NA
COA3,-0.421211102,NA
COASY,-0.976921303,NA
COCH,-3.653501857,NA
COG2,-0.37096118,NA
COL11A1,-1.665872719,NA
COL17A1,2.287833703,NA
COL1A1,-0.976035978,NA
COL4A2,-2.160600413,NA
COL4A3,-1.300453563,NA
COL4A5,-1.580972414,NA
COL4A6,-3.048278975,NA
COL5A2,-6.467518842,NA
COL8A2,-0.494149456,NA
COLGALT1,0.608879868,NA
COMMD3,-0.471501037,NA
COMMD4,-0.476634842,NA
COMT,1.196851954,NA
COPB2,0.668881363,NA
COPG1,0.652166816,NA
COPS2,-0.794953774,NA
COPZ2,-1.753974437,NA
COQ8A,-1.307266181,NA
CORO1A,1.68546499,NA
COX10,-0.485024311,NA
COX11,-0.972640004,NA
COX15,-0.870925088,NA
COX5A,-0.721711664,NA
COX7B,-0.536204068,NA
CPA4,1.461984173,NA
CPB2,-1.470001526,NA
CPE,2.809523439,NA
CPEB1,-2.357677378,NA
CPED1,-0.613070872,NA
CPLX2,-1.958783505,NA
CPM,2.5759524,NA
CPNE7,-0.701058324,NA
CPS1,-4.230347776,NA
CPT1A,-0.768890875,NA
CPTP,0.930000804,NA
CR2,2.511018181,NA
CRABP1,-0.987428316,NA
CRABP2,5.500659772,NA
CRADD,-0.555551428,NA
CRAT,-1.026516232,NA
CRCT1,-1.443755271,NA
CREG1,-0.892617567,NA
CRELD2,0.735030855,NA
CREM,-2.126940618,NA
CRIP1,-1.443378971,NA
CRISPLD2,2.625379828,NA
CRK,-0.387309206,NA
CRKL,0.452426218,NA
CROCC,-0.769681139,NA
CRTAP,-1.647545402,NA
CRTC3,-0.659609254,NA
CRY2,1.048688833,NA
CRYAB,-1.070183218,NA
CRYM,-1.591841457,NA
CSDE1,0.838803901,NA
CSF1R,1.644088551,NA
CSGALNACT1,-2.429187799,NA
CSGALNACT2,-0.95603222,NA
CSNK1A1,0.360037834,NA
CSNK1D,-0.812284946,NA
CSNK1E,1.888693208,NA
CSNK1G3,-0.495691607,NA
CSNK2B,0.627297988,NA
CSPG5,1.066714908,NA
CSRP1,-1.276036079,NA
CST6,6.482512844,NA
CST7,1.204142434,NA
CSTB,0.74020724,NA
CSTF2T,-0.86979699,NA
CSTF3,-0.714377763,NA
CTBP2,-0.427747416,NA
CTBS,1.024016283,NA
CTC1,-0.791471192,NA
CTDSPL,1.211955288,NA
CTGF,-2.258723622,NA
CTH,-1.090073093,NA
CTNNBIP1,1.373992741,NA
CTSA,0.808311617,NA
CTSB,-1.123676265,NA
CTSE,1.015002885,NA
CTSF,-0.913063607,NA
CTSH,3.265504516,NA
CTSL,-2.179610237,NA
CTSV,1.823028089,NA
CTSZ,0.56494491,NA
CTTN,0.95677619,NA
CUEDC2,-0.784331376,NA
CUL2,0.517690476,NA
CUL4A,-0.887033847,NA
CUTC,-1.830344599,NA
CXADR,1.131075777,NA
CXCL1,-2.672522651,NA
CXCL2,-2.625042761,NA
CXCL3,-3.154006636,NA
CXCL5,-5.005726791,NA
CXCL6,1.397065199,NA
CXXC4,-1.311842392,NA
CYB561,1.022469209,NA
CYB5B,-2.406363975,NA
CYB5R3,0.833488561,NA
CYB5R4,-1.474709072,NA
CYBB,-1.101407826,NA
CYFIP2,-3.843901016,NA
CYHR1,0.607054055,NA
CYLD,1.422914709,NA
CYP1B1,1.347430013,NA
CYP24A1,-3.107292636,NA
CYP27A1,1.174990774,NA
CYP27B1,-0.619533888,NA
CYP2J2,1.939822834,NA
CYP3A4,-1.327496703,NA
CYP3A5,-1.793214645,NA
CYP4B1,1.959852709,NA
CYP4F11,-4.768084797,NA
CYP4F3,-1.734146131,NA
CYP7B1,1.561487175,NA
CYR61,1.902847045,NA
DAAM1,2.550202772,NA
DAD1,-0.744666263,NA
DAG1,0.754009874,NA
DAP,1.685248726,NA
DAPP1,1.137072555,NA
DARS2,-0.84368332,NA
DAZAP2,-0.735814936,NA
DCAF11,-0.497915108,NA
DCAF15,0.746198805,NA
DCLK2,-1.418755949,NA
DCLRE1B,0.631416892,NA
DCN,-0.624848031,NA
DCTN2,-0.668556411,NA
DCTN5,0.674629352,NA
DCTN6,-0.930250941,NA
DCUN1D4,-0.879469709,NA
DDA1,1.050912813,NA
DDAH1,1.062583426,NA
DDAH2,0.790024459,NA
DDB2,-1.296461251,NA
DDC,-2.826309477,NA
DDIT4,-0.793058966,NA
DDRGK1,-0.828045637,NA
DDX1,-0.690120953,NA
DDX10,-1.29051382,NA
DDX17,2.061743927,NA
DDX18,-0.470721363,NA
DDX27,0.799004013,NA
DDX3Y,-4.20425688,NA
DDX43,2.911204021,NA
DDX52,-0.756536662,NA
DDX58,2.478376223,NA
DDX60,2.328780318,NA
DEAF1,-1.013474767,NA
DECR1,-0.787047765,NA
DEF8,-0.49938506,NA
DEK,0.483520777,NA
DENND1A,1.118725085,NA
DENND1B,0.455420734,NA
DENND2A,1.389449486,NA
DENND2D,4.475892415,NA
DENND5A,-0.836066399,NA
DENND5B,-1.747230358,NA
DERL1,0.437419249,NA
DERL2,-0.397155275,NA
DESI1,0.714003153,NA
DET1,-1.582784584,NA
DGCR2,0.929782449,NA
DGKA,0.564916698,NA
DGKD,-1.65279573,NA
DGKG,-2.021044635,NA
DGUOK,-0.748858598,NA
DHCR24,2.077276793,NA
DHODH,-0.970626472,NA
DHRS2,2.03679239,NA
DHX35,0.834385801,NA
DHX40,-0.575202007,NA
DHX8,-0.432326165,NA
DIABLO,-0.478734361,NA
DIAPH1,0.640583204,NA
DIAPH2,-1.271110699,NA
DICER1,-0.512352423,NA
DIDO1,1.825041432,NA
DIO2,-1.409185308,NA
DIP2C,-1.954564669,NA
DIS3,-0.600001083,NA
DIXDC1,-1.917388585,NA
DLG1,1.120760141,NA
DLG2,-1.61361455,NA
DLG3,0.720184763,NA
DLGAP1,-1.347991864,NA
DLGAP4,1.058952082,NA
DLK1,-1.592437732,NA
DLL3,-1.703179094,NA
DMD,2.394364616,NA
DMPK,1.390460072,NA
DMTN,-1.621862414,NA
DMWD,1.231054382,NA
DNAJA3,-0.435685729,NA
DNAJB1,1.18334169,NA
DNAJB12,0.754569708,NA
DNAJB2,1.084154165,NA
DNAJC12,-4.799198445,NA
DNAJC15,5.244536418,NA
DNAJC22,-2.28035639,NA
DNAL4,1.702797839,NA
DNPH1,-1.220491875,NA
DOCK1,-0.951787755,NA
DOCK10,-2.168670531,NA
DOCK3,1.956879355,NA
DOCK4,-1.099724194,NA
DOCK5,-1.262063303,NA
DOCK6,0.69001707,NA
DOK4,-2.443779013,NA
DOK5,2.21719766,NA
DOLK,-0.515592429,NA
DPH5,-0.580321214,NA
DPM3,-0.52013272,NA
DPP4,3.600005373,NA
DPP8,-0.425426612,NA
DPY19L1,-1.025376793,NA
DPYD,1.259015815,NA
DPYSL2,-1.923795638,NA
DPYSL3,-2.323530872,NA
DR1,0.763102226,NA
DRAP1,0.655628592,NA
DSCC1,0.769336246,NA
DSE,1.011044294,NA
DSG3,2.516307165,NA
DSP,2.054152778,NA
DSTYK,-0.597921237,NA
DTX4,2.39625528,NA
DUSP1,-2.096425275,NA
DUSP10,1.203650888,NA
DUSP14,0.804964525,NA
DUSP4,-1.960915517,NA
DUT,-0.503145823,NA
DVL3,1.322814554,NA
DYNC1LI1,-0.679382608,NA
DYNC2LI1,-0.663571917,NA
DYNLT1,0.665256101,NA
DYRK2,1.085387337,NA
DYRK3,-0.729377443,NA
DYSF,1.492809696,NA
DZIP1,-2.051690944,NA
E2F1,0.758208198,NA
E2F6,-0.510297265,NA
E2F8,1.488507122,NA
EAF2,-0.80446778,NA
EAPP,-0.622693923,NA
EBP,-0.660417878,NA
ECHDC3,-1.94838913,NA
ECI1,-0.442047562,NA
ECI2,-0.719128183,NA
EDA2R,-1.011232814,NA
EDEM1,0.850265751,NA
EDEM2,-0.596125069,NA
EDN1,-1.22619001,NA
EDRF1,-0.530234143,NA
EED,1.532973992,NA
EEF2,-0.561296119,NA
EFCAB14,0.754814518,NA
EFHD1,1.364532945,NA
EFL1,-0.997987602,NA
EFNA3,0.826539882,NA
EFNA4,0.878691716,NA
EFNB2,2.560933709,NA
EFR3A,0.865257367,NA
EFR3B,-0.906163173,NA
EGFR,3.608925657,NA
EGLN1,-0.875791768,NA
EGR1,1.173121916,NA
EHBP1L1,1.947774828,NA
EHD1,1.794235526,NA
EHD2,1.370003382,NA
EHD3,-0.536148715,NA
EHD4,0.92953092,NA
EID1,-0.734840557,NA
