ENSID,Log2FC,AveExpr,t,P.Value,adj.P.Val,B,Gene
ENSG00000125148,2.312552138,2.312552138,4.676387815,0.002413513,0.048136719,-1.17942141,MT2A
ENSG00000125245,-6.109453736,-6.109453736,-10.63377401,4.86E-05,0.019406976,2.423162424,GPR18
ENSG00000125656,2.21810519,2.21810519,4.987809929,0.001697704,0.04355245,-0.819944964,CLPP
ENSG00000125810,-7.953878854,-7.953878854,-13.29135188,1.38E-05,0.015200351,3.260962575,CD93
ENSG00000125868,2.067944368,2.067944368,4.790428251,0.002118394,0.047048515,-1.045979133,DSTN
ENSG00000126070,-2.135303526,-2.135303526,-4.918202405,0.001834411,0.04479462,-0.898947219,AGO3
ENSG00000126432,2.154256013,2.154256013,4.741337182,0.00224022,0.047407147,-1.103165379,PRDX5
ENSG00000127184,2.742862841,2.742862841,6.411834054,0.000399472,0.030215461,0.635378673,COX7C
ENSG00000127241,-5.853935809,-5.853935809,-6.700899663,0.001270063,0.039879185,-0.454009711,MASP1
ENSG00000127311,-2.893154888,-2.893154888,-6.401689736,0.000403266,0.030215461,0.626030787,HELB
ENSG00000127337,3.063692356,3.063692356,6.217253646,0.00047985,0.031193978,0.4536703,YEATS4
ENSG00000127603,-2.447031049,-2.447031049,-5.200060908,0.001346139,0.040530106,-0.583772195,MACF1
ENSG00000127920,3.959887825,3.959887825,7.793310069,0.00012138,0.022929945,1.789724444,GNG11
ENSG00000127922,2.560997308,2.560997308,5.633836128,0.000853546,0.035701479,-0.122744736,SEM1
ENSG00000127928,3.472646304,3.472646304,6.159802491,0.000929406,0.036236858,-0.065424127,GNGT1
ENSG00000128052,-5.021192422,-5.021192422,-9.318209161,3.93E-05,0.019406976,2.82997965,KDR
ENSG00000128228,1.963931977,1.963931977,4.551981025,0.002788504,0.049730186,-1.327387967,SDF2L1
ENSG00000128422,-5.023860811,-5.023860811,-5.750727087,0.002480051,0.048437843,-0.97160522,KRT17
