Gene.ID,M005,M005_PDX,M019,M019_PDX,M026,M029_PDX
ENSG00000134056,3.020533309,3.529700788,2.142182643,2.457475799,2.278767365,2.401045159
ENSG00000165029,-1.564429192,-2.412651552,-3.82165623,-6.418670947,-2.21618497,-3.829365873
ENSG00000167513,2.329286015,4.1411355,1.615323097,1.955819077,1.038334388,2.515687724
ENSG00000215021,1.597667819,1.705700304,1.65198555,2.326176783,0.799836249,1.270417598
ENSG00000128654,1.716812833,2.420994529,1.680278538,1.971305122,1.314708246,2.477468402
ENSG00000089916,-1.235364916,-0.996585805,-1.733652854,-1.784529652,-0.74182373,-0.769907484
ENSG00000240857,0.824136096,2.159751179,1.00256953,0.83553665,1.946192026,4.135839653
ENSG00000164172,1.524575814,1.645178006,0.705451413,1.09250775,1.320761454,1.833428022
ENSG00000138398,2.081523938,1.601206753,0.679542658,1.146886385,1.239029608,1.118877321
ENSG00000139726,2.378085314,2.838747592,1.841814086,1.96376236,2.094239192,1.950832797
ENSG00000121211,2.14606419,NA,3.110210253,5.36931561,2.153236483,2.970253588
ENSG00000152104,-3.02386081,-2.129808665,-4.174960746,-4.329744123,-2.811245535,-2.185393334
ENSG00000163510,1.861225415,0.963597315,1.074223629,0.907411506,0.83541947,2.245511249
ENSG00000006634,1.982565459,2.362590803,1.138224629,3.302110338,1.54068815,1.46123994
ENSG00000011523,-1.088401063,-1.143919332,-1.100109336,-1.450986109,-0.645247409,-0.440112472
ENSG00000213079,-0.268973308,-1.019342138,-1.84196689,-2.459741112,-0.957143992,-0.869476172
ENSG00000183207,2.091616407,2.610863641,2.014526905,2.894046459,0.888182909,1.053581971
ENSG00000148834,1.544095265,2.253245867,1.725361501,2.742427246,1.422166667,2.026585238
ENSG00000186132,1.953419113,0.736151665,0.792134484,1.118090507,0.94906192,1.930725223
ENSG00000175826,0.654211094,0.802719283,1.212037738,1.208202347,0.728851812,0.901911526
ENSG00000183520,1.40545082,1.372159512,0.738339355,1.929512798,1.179231691,1.684241993
ENSG00000005175,1.753746769,1.389523131,0.597961936,1.353139139,1.37579182,2.039659595
ENSG00000130726,1.770555056,1.650259713,1.417275065,2.360027153,0.719867161,1.683139924
ENSG00000143933,3.315551149,3.442121985,2.112297129,2.754993223,2.710319951,3.154216423
ENSG00000109756,-1.232447432,-1.362793586,-1.835233583,-2.178321579,-1.115940605,-1.58655047
ENSG00000111641,2.368456612,1.390724375,1.271972313,2.007654436,1.079019204,1.6000521
ENSG00000171425,2.545994798,1.424731229,2.621006735,3.349416052,0.963411924,2.131258211
ENSG00000119778,-2.093123473,-1.989028014,-1.968207449,-2.526486851,-1.557156709,-1.021693712
ENSG00000138160,0.978187019,3.425864977,1.234492589,3.754399887,2.604389944,2.453566013
ENSG00000076003,1.139177806,2.055660101,0.82801902,2.577367999,1.249443285,1.307533272
ENSG00000185823,NA,NA,-4.410211996,NA,-4.213085731,-3.239199778
ENSG00000134291,2.00253688,2.900016484,1.128168369,2.517865499,0.889426349,1.589060911
ENSG00000166896,NA,2.529700788,2.00764052,4.266953892,2.733333229,2.450099383
ENSG00000134248,1.027076155,1.69571074,1.533120596,1.664917878,1.526250767,1.043493154
ENSG00000104824,1.023053301,1.34242222,0.751099876,1.011498662,0.75339366,0.779121824
ENSG00000065548,2.480759582,2.089296569,1.332993702,1.946967949,1.916630203,1.259535839
ENSG00000105819,2.015667554,1.870737706,1.37721888,1.725315158,0.987503225,0.902061465
ENSG00000224238,-5.246253232,-4.055261713,NA,NA,-4.421672353,-4.561127873
ENSG00000188566,3.289022144,1.839556051,1.616820963,1.342989783,0.771807377,1.769362236
ENSG00000115163,0.487101109,NA,1.330461648,5.0621341,1.911709895,1.953093037
ENSG00000037897,1.100260501,2.823883893,1.155641682,1.332965532,1.31483662,1.667690818
ENSG00000106290,2.263595067,2.596562743,1.177470007,1.570376518,0.788073526,1.970962354
ENSG00000157423,-1.853935809,-1.898536209,-2.507073535,-4.045475314,-1.927683513,-1.751848074
ENSG00000125863,1.923045464,2.526160431,1.308455319,2.057007045,1.370635386,2.07158776
ENSG00000177337,-0.964967122,-1.202103101,-2.71833429,-2.552312837,-0.44369866,-0.056335721
ENSG00000079785,1.823022476,1.473517953,0.950883187,1.474619087,1.31008553,1.420965049
ENSG00000185359,1.913890749,2.550762403,1.585683606,1.397082486,0.909487064,1.068095047
ENSG00000166341,-1.803470742,-1.843108476,-1.071579971,-1.358928863,-2.213085732,0.037114568
ENSG00000108590,NA,1.19849488,0.574157353,0.602182123,1.039579701,-0.219834453
ENSG00000157992,1.953419113,1.359775787,1.447769,0.575419727,1.667809656,1.445298396
ENSG00000165916,2.941923474,1.807234764,2.424463533,3.067700226,1.45975967,1.412876919
ENSG00000115875,2.2469931,1.406552558,1.169436705,1.228622758,0.599804632,1.622158201
ENSG00000113643,1.637452576,0.952557792,0.860205374,1.63892267,1.197448476,1.191252774
ENSG00000033050,1.686632572,1.64286414,0.338375518,0.812903203,0.480670411,1.639945827
ENSG00000198826,2.036835121,4.981827607,1.102857587,3.481610665,2.477096081,2.458595219
